2020001	 000	087
2020002	 000	337
2020003	 000	004
2020004	 000	807
2020005	 000	804
2020006	 000	296
2020007	 000	496
2020008	 000	602
2020009	 000	574
2020010	 000	389
2020011	 000	397
2020012	 000	705
2020013	 000	447
2020014	 000	137
2020015	 000	586
2020016	 000	251
2020017	 000	434
2020018	 000	623
2020019	 000	049
2020020	 000	296
2020021	 000	901
2020022	 000	485
2020023	 000	511
2020024	 000	827
2020025	 000	143
2020026	 000	885
2020027	 000	231
2020028	 000	265
2020029	 000	042
2020030	 000	037
2020031	 000	818
2020032	 000	794
2020033	 000	116
2020034	 000	531
2020035	 000	776
2020036	 000	740
2020037	 000	683
2020038	 000	392
2020039	 000	472
2020040	 000	900
2020041	 000	879
2020042	 000	034
2020043	 000	567
2020044	 000	227
2020045	 000	234
2020046	 000	822
2020047	 000	874
2020048	 000	997
2020049	 000	297
2020050	 000	314
2020051	 000	221
2020052	 000	503
2020053	 000	430
2020054	 000	978
2020055	 000	468
2020056	 000	462
2020057	 000	880
2020058	 000	902
2020059	 000	948
2020060	 000	828
2020061	 000	535
2020062	 000	902
2020063	 000	663
2020064	 000	853
2020065	 000	294
2020066	 000	219
2020067	 000	942
2020068	 000	153
2020069	 000	260
2020070	 000	835
2020071	 000	059
2020072	 000	921
2020073	 000	685
2020074	 000	079
2020075	 000	276
2020076	 000	082
2020077	 000	020
2020078	 000	597
2020079	 000	570
2020080	 000	662
2020081	 000	148
2020082	 000	191
2020083	 000	440
2020084	 000	612
2020085	 000	336
2020086	 000	516
2020087	 000	114
2020088	 000	746
2020089	 000	577
2020090	 000	575
2020091	 000	088
2020092	 000	497
2020093	 000	124
2020094	 000	911
2020095	 000	740
2020096	 000	666
2020097	 000	840
2020098	 000	292
2020099	 000	681
2020100	 000	668
2020101	 000	298
2020102	 000	786
2020103	 000	872
2020104	 000	397
2020105	 000	198
2020106	 000	964
2020107	 000	856
2020108	 000	155
2020109	 000	818
2020110	 000	450
2020111	 000	220
2020112	 000	503
2020113	 000	524
2020114	 000	737
2020115	 000	036
2020116	 000	008
